0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
6301; time=1.2602	MaxPSpeed= 0.000332746	MaxPSpin= 0.00851965	eKin = 5.16477e-06	eGrav = 73.0544	eTot = 73.0544	
6401; time=1.2802	MaxPSpeed= 0.00033722	MaxPSpin= 0.00925759	eKin = 5.90574e-06	eGrav = 73.0543	eTot = 73.0543	
6501; time=1.3002	MaxPSpeed= 0.000304656	MaxPSpin= 0.00886057	eKin = 5.74719e-06	eGrav = 73.0542	eTot = 73.0542	
6601; time=1.3202	MaxPSpeed= 0.000357761	MaxPSpin= 0.00847314	eKin = 5.13156e-06	eGrav = 73.0541	eTot = 73.0541	
6701; time=1.3402	MaxPSpeed= 0.000283254	MaxPSpin= 0.0100594	eKin = 6.76907e-06	eGrav = 73.0539	eTot = 73.054	
6801; time=1.3602	MaxPSpeed= 0.000308458	MaxPSpin= 0.00867929	eKin = 5.44041e-06	eGrav = 73.0538	eTot = 73.0538	
6901; time=1.3802	MaxPSpeed= 0.000377065	MaxPSpin= 0.00856426	eKin = 5.25354e-06	eGrav = 73.0537	eTot = 73.0537	
7001; time=1.4002	MaxPSpeed= 0.000303369	MaxPSpin= 0.0094842	eKin = 6.43261e-06	eGrav = 73.0536	eTot = 73.0536	
7101; time=1.4202	MaxPSpeed= 0.000319645	MaxPSpin= 0.00856928	eKin = 5.24201e-06	eGrav = 73.0535	eTot = 73.0535	
7201; time=1.4402	MaxPSpeed= 0.000387018	MaxPSpin= 0.00854669	eKin = 5.30659e-06	eGrav = 73.0534	eTot = 73.0534	
7301; time=1.4602	MaxPSpeed= 0.000302726	MaxPSpin= 0.00906208	eKin = 6.02515e-06	eGrav = 73.0533	eTot = 73.0533	
7401; time=1.4802	MaxPSpeed= 0.000339566	MaxPSpin= 0.00850387	eKin = 5.15018e-06	eGrav = 73.0532	eTot = 73.0532	
7501; time=1.5002	MaxPSpeed= 0.000313175	MaxPSpin= 0.00953846	eKin = 6.20465e-06	eGrav = 73.0531	eTot = 73.0531	
7601; time=1.5202	MaxPSpeed= 0.000305625	MaxPSpin= 0.00880455	eKin = 5.66133e-06	eGrav = 73.053	eTot = 73.053	
7701; time=1.5402	MaxPSpeed= 0.000365363	MaxPSpin= 0.00846478	eKin = 5.13662e-06	eGrav = 73.0528	eTot = 73.0528	
7801; time=1.5602	MaxPSpeed= 0.000292319	MaxPSpin= 0.00991217	eKin = 6.69337e-06	eGrav = 73.0527	eTot = 73.0527	
7901; time=1.5802	MaxPSpeed= 0.000310426	MaxPSpin= 0.0086469	eKin = 5.38484e-06	eGrav = 73.0526	eTot = 73.0526	
8001; time=1.6002	MaxPSpeed= 0.000382173	MaxPSpin= 0.00853824	eKin = 5.2506e-06	eGrav = 73.0525	eTot = 73.0525	
8101; time=1.6202	MaxPSpeed= 0.00030264	MaxPSpin= 0.00938445	eKin = 6.35411e-06	eGrav = 73.0524	eTot = 73.0524	
8201; time=1.6402	MaxPSpeed= 0.000323072	MaxPSpin= 0.00855216	eKin = 5.21757e-06	eGrav = 73.0523	eTot = 73.0523	
8301; time=1.6602	MaxPSpeed= 0.000374709	MaxPSpin= 0.00881079	eKin = 5.51085e-06	eGrav = 73.0522	eTot = 73.0522	
8401; time=1.6802	MaxPSpeed= 0.000303822	MaxPSpin= 0.00900541	eKin = 5.95813e-06	eGrav = 73.0521	eTot = 73.0521	
8501; time=1.7002	MaxPSpeed= 0.000343644	MaxPSpin= 0.00849345	eKin = 5.14278e-06	eGrav = 73.0519	eTot = 73.052	
8601; time=1.7202	MaxPSpeed= 0.000298946	MaxPSpin= 0.00988234	eKin = 6.4697e-06	eGrav = 73.0518	eTot = 73.0518	
8701; time=1.7402	MaxPSpeed= 0.000306069	MaxPSpin= 0.00877263	eKin = 5.61278e-06	eGrav = 73.0517	eTot = 73.0517	
8801; time=1.7602	MaxPSpeed= 0.000369157	MaxPSpin= 0.00846019	eKin = 5.14055e-06	eGrav = 73.0516	eTot = 73.0516	
8901; time=1.7802	MaxPSpeed= 0.000296542	MaxPSpin= 0.00981511	eKin = 6.65636e-06	eGrav = 73.0515	eTot = 73.0515	
9001; time=1.8002	MaxPSpeed= 0.000311653	MaxPSpin= 0.00863268	eKin = 5.36257e-06	eGrav = 73.0514	eTot = 73.0514	
9101; time=1.8202	MaxPSpeed= 0.000386106	MaxPSpin= 0.00847276	eKin = 5.21168e-06	eGrav = 73.0513	eTot = 73.0513	
9201; time=1.8402	MaxPSpeed= 0.000302207	MaxPSpin= 0.00933976	eKin = 6.3186e-06	eGrav = 73.0512	eTot = 73.0512	
9301; time=1.8602	MaxPSpeed= 0.000324624	MaxPSpin= 0.00854693	eKin = 5.21209e-06	eGrav = 73.0511	eTot = 73.0511	
9401; time=1.8802	MaxPSpeed= 0.000372879	MaxPSpin= 0.00881796	eKin = 5.52101e-06	eGrav = 73.0509	eTot = 73.0509	
9501; time=1.9002	MaxPSpeed= 0.000304179	MaxPSpin= 0.00899017	eKin = 5.94227e-06	eGrav = 73.0508	eTot = 73.0508	
9601; time=1.9202	MaxPSpeed= 0.000344597	MaxPSpin= 0.00849187	eKin = 5.14436e-06	eGrav = 73.0507	eTot = 73.0507	
9701; time=1.9402	MaxPSpeed= 0.000299686	MaxPSpin= 0.00983138	eKin = 6.44187e-06	eGrav = 73.0506	eTot = 73.0506	
9801; time=1.9602	MaxPSpeed= 0.000306647	MaxPSpin= 0.00877214	eKin = 5.61588e-06	eGrav = 73.0505	eTot = 73.0505	
9901; time=1.9802	MaxPSpeed= 0.00036931	MaxPSpin= 0.00845886	eKin = 5.14172e-06	eGrav = 73.0504	eTot = 73.0504	
10001; time=2.0002	MaxPSpeed= 0.000295911	MaxPSpin= 0.00982752	eKin = 6.6644e-06	eGrav = 73.0503	eTot = 73.0503	
10101; time=2.0202	MaxPSpeed= 0.00031198	MaxPSpin= 0.00863478	eKin = 5.36994e-06	eGrav = 73.0502	eTot = 73.0502	
10201; time=2.0402	MaxPSpeed= 0.000385759	MaxPSpin= 0.00848073	eKin = 5.21951e-06	eGrav = 73.0501	eTot = 73.0501	
10301; time=2.0602	MaxPSpeed= 0.00030253	MaxPSpin= 0.00934707	eKin = 6.32758e-06	eGrav = 73.0499	eTot = 73.0499	
10401; time=2.0802	MaxPSpeed= 0.000324097	MaxPSpin= 0.00854868	eKin = 5.2187e-06	eGrav = 73.0498	eTot = 73.0498	
10501; time=2.1002	MaxPSpeed= 0.000375589	MaxPSpin= 0.00880803	eKin = 5.51405e-06	eGrav = 73.0497	eTot = 73.0497	
10601; time=2.1202	MaxPSpeed= 0.000304082	MaxPSpin= 0.00899928	eKin = 5.95801e-06	eGrav = 73.0496	eTot = 73.0496	
10701; time=2.1402	MaxPSpeed= 0.000343247	MaxPSpin= 0.00849391	eKin = 5.14833e-06	eGrav = 73.0495	eTot = 73.0495	
