5901; time=1.1802	MaxPSpeed= 1.50696	MaxPSpin= 14.7164	eKin = 20.974	eGrav = 3576.09	eTot = 3597.07	
6001; time=1.2002	MaxPSpeed= 1.46389	MaxPSpin= 14.7162	eKin = 20.2921	eGrav = 3576.75	eTot = 3597.04	
6101; time=1.2202	MaxPSpeed= 1.44638	MaxPSpin= 14.716	eKin = 20.025	eGrav = 3577.01	eTot = 3597.04	
6201; time=1.2402	MaxPSpeed= 1.45534	MaxPSpin= 14.7158	eKin = 20.161	eGrav = 3576.88	eTot = 3597.04	
6301; time=1.2602	MaxPSpeed= 1.49031	MaxPSpin= 14.7157	eKin = 20.7001	eGrav = 3576.34	eTot = 3597.04	
6401; time=1.2802	MaxPSpeed= 1.54952	MaxPSpin= 14.7155	eKin = 21.6424	eGrav = 3575.4	eTot = 3597.04	
6501; time=1.3002	MaxPSpeed= 0.791268	MaxPSpin= 6.33726	eKin = 5.08068	eGrav = 3575.69	eTot = 3580.77	
6601; time=1.3202	MaxPSpeed= 0.598157	MaxPSpin= 6.31159	eKin = 3.54655	eGrav = 3577.16	eTot = 3580.7	
6701; time=1.3402	MaxPSpeed= 0.402278	MaxPSpin= 6.31152	eKin = 2.51595	eGrav = 3578.17	eTot = 3580.69	
6801; time=1.3602	MaxPSpeed= 0.207014	MaxPSpin= 6.31144	eKin = 1.89297	eGrav = 3578.79	eTot = 3580.69	
6901; time=1.3802	MaxPSpeed= 0.0295187	MaxPSpin= 6.31136	eKin = 1.6731	eGrav = 3579.01	eTot = 3580.69	
7001; time=1.4002	MaxPSpeed= 0.189412	MaxPSpin= 6.31129	eKin = 1.85635	eGrav = 3578.83	eTot = 3580.69	
7101; time=1.4202	MaxPSpeed= 0.384539	MaxPSpin= 6.31121	eKin = 2.4427	eGrav = 3578.24	eTot = 3580.69	
7201; time=1.4402	MaxPSpeed= 0.580389	MaxPSpin= 6.31114	eKin = 3.43217	eGrav = 3577.25	eTot = 3580.68	
7301; time=1.4602	MaxPSpeed= 0.776414	MaxPSpin= 6.31106	eKin = 4.82473	eGrav = 3575.86	eTot = 3580.68	
7401; time=1.4802	MaxPSpeed= 0.186439	MaxPSpin= 0.555136	eKin = 0.22615	eGrav = 3575.08	eTot = 3575.3	
7501; time=1.5002	MaxPSpeed= 0.0652603	MaxPSpin= 0.555129	eKin = 0.035296	eGrav = 3575.28	eTot = 3575.31	
7601; time=1.5202	MaxPSpeed= 0.0971356	MaxPSpin= 0.994284	eKin = 0.0939517	eGrav = 3575.05	eTot = 3575.14	
7701; time=1.5402	MaxPSpeed= 0.124898	MaxPSpin= 1.26869	eKin = 0.149145	eGrav = 3575.02	eTot = 3575.17	
7801; time=1.5602	MaxPSpeed= 0.159078	MaxPSpin= 1.58796	eKin = 0.238134	eGrav = 3574.93	eTot = 3575.17	
7901; time=1.5802	MaxPSpeed= 0.194952	MaxPSpin= 1.94886	eKin = 0.358099	eGrav = 3574.82	eTot = 3575.18	
8001; time=1.6002	MaxPSpeed= 0.233566	MaxPSpin= 2.33459	eKin = 0.513948	eGrav = 3574.68	eTot = 3575.2	
8101; time=1.6202	MaxPSpeed= 0.275384	MaxPSpin= 2.7527	eKin = 0.714485	eGrav = 3574.51	eTot = 3575.22	
8201; time=1.6402	MaxPSpeed= 0.32103	MaxPSpin= 3.20698	eKin = 0.970436	eGrav = 3574.28	eTot = 3575.25	
8301; time=1.6602	MaxPSpeed= 0.372332	MaxPSpin= 3.6724	eKin = 1.2908	eGrav = 3574	eTot = 3575.29	
8401; time=1.6802	MaxPSpeed= 0.426581	MaxPSpin= 4.23855	eKin = 1.70534	eGrav = 3573.65	eTot = 3575.36	
8501; time=1.7002	MaxPSpeed= 0.487102	MaxPSpin= 4.84546	eKin = 2.22581	eGrav = 3573.21	eTot = 3575.44	
8601; time=1.7202	MaxPSpeed= 0.245318	MaxPSpin= 2.4932	eKin = 0.577239	eGrav = 3573.35	eTot = 3573.93	
8701; time=1.7402	MaxPSpeed= 0.172393	MaxPSpin= 1.69848	eKin = 0.276562	eGrav = 3573.52	eTot = 3573.79	
8801; time=1.7602	MaxPSpeed= 0.101392	MaxPSpin= 1.01306	eKin = 0.0968372	eGrav = 3573.66	eTot = 3573.75	
8901; time=1.7802	MaxPSpeed= 0.0323248	MaxPSpin= 0.324068	eKin = 0.0098814	eGrav = 3573.72	eTot = 3573.73	
9001; time=1.8002	MaxPSpeed= 0.0303558	MaxPSpin= 0.288865	eKin = 0.00834277	eGrav = 3573.72	eTot = 3573.73	
