0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
19401; time=3.8802	MaxPSpeed= 1.18442	MaxPSpin= 11.2165	eKin = 174.848	eGrav = 279600	eTot = 279775	
19501; time=3.9002	MaxPSpeed= 1.03293	MaxPSpin= 10.6016	eKin = 137.822	eGrav = 279597	eTot = 279735	
19601; time=3.9202	MaxPSpeed= 0.916299	MaxPSpin= 10.6015	eKin = 135.697	eGrav = 279553	eTot = 279689	
19701; time=3.9402	MaxPSpeed= 0.762431	MaxPSpin= 10.3284	eKin = 140.172	eGrav = 279477	eTot = 279617	
19801; time=3.9602	MaxPSpeed= 0.785729	MaxPSpin= 10.298	eKin = 163.633	eGrav = 279384	eTot = 279548	
19901; time=3.9802	MaxPSpeed= 0.969471	MaxPSpin= 10.1685	eKin = 182.494	eGrav = 279283	eTot = 279465	
20001; time=4.0002	MaxPSpeed= 1.16197	MaxPSpin= 8.08572	eKin = 197.197	eGrav = 279178	eTot = 279375	
20101; time=4.0202	MaxPSpeed= 1.22571	MaxPSpin= 7.53185	eKin = 170.881	eGrav = 279078	eTot = 279249	
20201; time=4.0402	MaxPSpeed= 1.41572	MaxPSpin= 7.56107	eKin = 138.01	eGrav = 278994	eTot = 279132	
20301; time=4.0602	MaxPSpeed= 1.61177	MaxPSpin= 6.41868	eKin = 120.823	eGrav = 278930	eTot = 279051	
20401; time=4.0802	MaxPSpeed= 1.56541	MaxPSpin= 7.55778	eKin = 101.44	eGrav = 278883	eTot = 278984	
20501; time=4.1002	MaxPSpeed= 1.73939	MaxPSpin= 6.63923	eKin = 90.0425	eGrav = 278846	eTot = 278936	
20601; time=4.1202	MaxPSpeed= 1.24313	MaxPSpin= 6.88332	eKin = 66.9272	eGrav = 278816	eTot = 278882	
20701; time=4.1402	MaxPSpeed= 0.611345	MaxPSpin= 7.31882	eKin = 46.7757	eGrav = 278789	eTot = 278836	
